instance_index,algorithm,algorithm_time
0,Floyd,0.004348
0,BellmanFord,0.0084885
1,Floyd,0.00379525
1,BellmanFord,0.004348
2,Floyd,0.00377175
2,BellmanFord,0.0044475
3,Floyd,0.0038685
3,BellmanFord,0.0045575
4,Floyd,0.004097
4,BellmanFord,0.004445
5,Floyd,0.00375775
5,BellmanFord,0.007926
6,Floyd,0.00379375
6,BellmanFord,0.0076805
7,Floyd,0.00384425
7,BellmanFord,0.004398
8,Floyd,0.00796525
8,BellmanFord,0.006902
9,Floyd,0.0037995
9,BellmanFord,0.00456125
10,Floyd,0.006513
10,BellmanFord,0.00450025
11,Floyd,0.0067775
11,BellmanFord,0.0045055
12,Floyd,0.00382825
12,BellmanFord,0.00440425
13,Floyd,0.003764
13,BellmanFord,0.004398
14,Floyd,0.00383175
14,BellmanFord,0.00447675
15,Floyd,0.00694025
15,BellmanFord,0.004396
16,Floyd,0.00628225
16,BellmanFord,0.0077155
17,Floyd,0.0072685
17,BellmanFord,0.008935
18,Floyd,0.00398925
18,BellmanFord,0.00437025
19,Floyd,0.0035985
19,BellmanFord,0.00437225
20,Floyd,0.0036285
20,BellmanFord,0.0042735
21,Floyd,0.00361575
21,BellmanFord,0.00418175
22,Floyd,0.00370475
22,BellmanFord,0.0043925
23,Floyd,0.0082055
23,BellmanFord,0.008125
24,Floyd,0.00391525
24,BellmanFord,0.00771025
25,Floyd,0.00361725
25,BellmanFord,0.0043645
26,Floyd,0.00457975
26,BellmanFord,0.0044135
27,Floyd,0.0065205
27,BellmanFord,0.00449875
28,Floyd,0.003752
28,BellmanFord,0.007317
29,Floyd,0.00376225
29,BellmanFord,0.00432025
30,Floyd,0.00473925
30,BellmanFord,0.0045
31,Floyd,0.00385525
31,BellmanFord,0.00436275
32,Floyd,0.0038175
32,BellmanFord,0.00806375
33,Floyd,0.00605125
33,BellmanFord,0.00438825
34,Floyd,0.00377475
34,BellmanFord,0.0043225
35,Floyd,0.003752
35,BellmanFord,0.00441
36,Floyd,0.0068875
36,BellmanFord,0.004332
37,Floyd,0.00609875
37,BellmanFord,0.00455975
38,Floyd,0.003634
38,BellmanFord,0.007714
39,Floyd,0.0073075
39,BellmanFord,0.0047135
40,Floyd,0.00407225
40,BellmanFord,0.00449975
41,Floyd,0.0045415
41,BellmanFord,0.00431125
42,Floyd,0.00347675
42,BellmanFord,0.00434125
43,Floyd,0.0035485
43,BellmanFord,0.004311
44,Floyd,0.003841
44,BellmanFord,0.00790875
45,Floyd,0.003648
45,BellmanFord,0.00437925
46,Floyd,0.00617775
46,BellmanFord,0.00435675
47,Floyd,0.003536
47,BellmanFord,0.00429975
48,Floyd,0.0039215
48,BellmanFord,0.0046505
49,Floyd,0.0064915
49,BellmanFord,0.004474
50,Floyd,0.0036415
50,BellmanFord,0.00433625
51,Floyd,0.0036565
51,BellmanFord,0.00439975
52,Floyd,0.00639075
52,BellmanFord,0.004609
53,Floyd,0.0037485
53,BellmanFord,0.0044715
54,Floyd,0.0064475
54,BellmanFord,0.00428225
55,Floyd,0.006121
55,BellmanFord,0.00448875
56,Floyd,0.00382275
56,BellmanFord,0.0043495
57,Floyd,0.00367775
57,BellmanFord,0.0046075
58,Floyd,0.008418
58,BellmanFord,0.0043795
59,Floyd,0.00477975
59,BellmanFord,0.00434075
60,Floyd,0.0069805
60,BellmanFord,0.004479
61,Floyd,0.003606
61,BellmanFord,0.00480725
62,Floyd,0.00672475
62,BellmanFord,0.0071655
63,Floyd,0.00372075
63,BellmanFord,0.0043615
64,Floyd,0.00366
64,BellmanFord,0.0044735
65,Floyd,0.004171
65,BellmanFord,0.008061
66,Floyd,0.00386075
66,BellmanFord,0.007672
67,Floyd,0.003731
67,BellmanFord,0.004419
68,Floyd,0.00363825
68,BellmanFord,0.00795025
69,Floyd,0.00517225
69,BellmanFord,0.004397
70,Floyd,0.00394075
70,BellmanFord,0.0079055
71,Floyd,0.00602525
71,BellmanFord,0.00456375
72,Floyd,0.0038975
72,BellmanFord,0.00444125
73,Floyd,0.00359825
73,BellmanFord,0.008111
74,Floyd,0.00556725
74,BellmanFord,0.004603
75,Floyd,0.003914
75,BellmanFord,0.00451025
76,Floyd,0.00375425
76,BellmanFord,0.004298
77,Floyd,0.00366025
77,BellmanFord,0.004432
78,Floyd,0.00368
78,BellmanFord,0.00793875
79,Floyd,0.00725425
79,BellmanFord,0.00463225
80,Floyd,0.00357475
80,BellmanFord,0.00468925
81,Floyd,0.003961
81,BellmanFord,0.004542
82,Floyd,0.00532625
82,BellmanFord,0.004659
83,Floyd,0.00845125
83,BellmanFord,0.00446475
84,Floyd,0.00360575
84,BellmanFord,0.004463
85,Floyd,0.00357625
85,BellmanFord,0.00447525
86,Floyd,0.0036395
86,BellmanFord,0.004348
87,Floyd,0.0036375
87,BellmanFord,0.00553725
88,Floyd,0.003846
88,BellmanFord,0.004278
89,Floyd,0.00688375
89,BellmanFord,0.00435425
90,Floyd,0.00369075
90,BellmanFord,0.00434025
91,Floyd,0.0036045
91,BellmanFord,0.0044575
92,Floyd,0.0038675
92,BellmanFord,0.0044085
93,Floyd,0.00368175
93,BellmanFord,0.004354
94,Floyd,0.006477
94,BellmanFord,0.0043785
95,Floyd,0.006207
95,BellmanFord,0.00457125
96,Floyd,0.003851
96,BellmanFord,0.00444725
97,Floyd,0.00730875
97,BellmanFord,0.00439025
98,Floyd,0.0037015
98,BellmanFord,0.00440575
99,Floyd,0.0036255
99,BellmanFord,0.00441325
